"id","title","longitude","latitude","city","area","room_type","floor","size","oriented","price","unit_price","decoration","Fangtianxia_data_source","age","elevator"
"1","澳景园 . 双拼毛坯房 总价低 只需1050万 随时看房","116.55499267578125000000","40.07074737548828125000","北京","顺义","4室3厅4卫","低层地上层数（共2层）","366平米","南","12200000","33333元/平米","毛坯","3","2015年","无"
"2","东四环 欢乐谷 华侨城 房源真实不要被低价房源吸引 看房有钥匙","116.50925445556640625000","39.87174224853515625000","北京","朝阳","2室2厅2卫","中层楼层（共33层）","121平米","南","9500000","78512元/平米","豪华装修","3","2011年","有"
"3","东方普罗旺斯 三期新房 超低价 548平2550万中 花园600平","116.45758056640625000000","40.12512969970703125000","北京","昌平","5室5厅5卫","低层地上层数（共3层）","548平米","南","25500000","46533元/平米","毛坯","3","2012年","无"
"4","北京壹号庄园 四期新房 700平3800万 纯法式外观 浪漫经典","116.45758056640625000000","40.12512969970703125000","北京","昌平","6室4厅5卫","低层地上层数（共3层）","700平米","南","38000000","54286元/平米","豪华装修","3","2015年","无"
"5","奥森边天翠园别墅！南北四居室！！观景好！临交通便利","116.42015838623046875000","40.04326248168945312500","北京","朝阳","4室2厅3卫","高层楼层（共4层）","213.71平米","西南","16600000","77675元/平米","豪华装修","3","2008年","有"
"6","太阳宫 水星园经典两居 两个朝向 把角户型 房子满五年 成本低","116.46004486083984375000","39.97707366943359375000","北京","朝阳","2室2厅1卫","中层楼层（共23层）","103.56平米","东南","9300000","89803元/平米","精装修","3","2006年","有"
"7","水系旁边 安静位置 高层观景房 卫浴全明 南北双通透 好位置","116.26541900634765625000","40.05804061889648437500","北京","海淀","3室2厅2卫","高层楼层（共10层）","123平米","南北","11500000","93496元/平米","精装修","3","2005年","有"
"8","草桥136.75平850万草桥欣园三区南北向","116.36397552490234375000","39.84876251220703125000","北京","丰台","4室1厅1卫","中层楼层（共18层）","136.75平米","南北","8500000","62157元/平米","精装修","3","2000年","无"
"9","国瑞城  平层大四居 奢华 电梯直达商城 空中花园","116.42895507812500000000","39.90393447875976562500","北京","东城","3室2厅3卫","高层楼层（共16层）","258.85平米","北","22000000","84991元/平米","豪华装修","3","2012年","有"
"10","全南板楼两居 安静不临街 观景好 小区中间 世纪城远大园五区","116.28952789306640625000","39.95828247070312500000","北京","海淀","2室2厅2卫","低层楼层（共15层）","134平米","南","12000000","89552元/平米","中装修","3","2002年","有"
"11","迎来日出，送走晚霞 观湖国际新出东西通透两居 3.1米","116.50098419189453125000","39.94100570678710937500","北京","朝阳","2室2厅2卫","低层楼层（共29层）","127平米","东西","11500000","90551元/平米","精装修","3","2006年","无"
"12","篱笆房芭蕾雨下跃层带花园满五精装三居","116.18967437744140625000","39.76902389526367187500","北京","房山","3室1厅1卫","低层楼层（共9层）","68.93平米","南北","4300000","62382元/平米","精装修","3","2012年","有"
"13","首付90 顺义站 精装一居 低楼层 有钥匙，随时可看","116.65990447998046875000","40.14218139648437500000","北京","顺义","1室1厅1卫","中层楼层（共6层）","58.16平米","南北","2550000","43845元/平米","精装修","3","1988年","无"
"14","通州南六环精装复式 购一层层 5米5","116.24303436279296875000","40.21827697753906250000","北京","昌平","1室1厅1卫","中层楼层（共8层）","41平米","东南","1360000","33171元/平米","精装修","3","2015年","有"
"15","（可谈）含产权车位！新出精装带地暖三居室，低于同户型成交价","116.49127960205078125000","39.97054672241210937500","北京","朝阳","3室2厅2卫","低层楼层（共9层）","186.94平米","南","17490000","93559元/平米","精装修","3","2007年","有"
"16","样板间出售1600万，看景观的位置视线开阔","116.40577697753906250000","40.19134902954101562500","北京","昌平","4室3厅5卫","低层地上层数（共2层）","463平米","南","16000000","34557元/平米","精装修","3","2010年","无"
"17","绿城百合桂雨苑三室一厅一卫","116.07862854003906250000","39.71850967407226562500","北京","房山","3室2厅1卫","中层楼层（共5层）","151.38平米","南北","3590000","23715元/平米","中装修","3","2006年","无"
"18","长阳新悦都精装两居南北通透满2年电梯房楼层好位置佳诚售","116.19239044189453125000","39.77884674072265625000","北京","房山","2室1厅1卫","低层楼层（共18层）","76平米","东西","2800000","36842元/平米","简装修","3","2015年","无"
"19","乐澜宝邸：四居复式 南北向精装修 满五","116.47218322753906250000","39.89032363891601562500","北京","朝阳","4室2厅2卫","低层楼层（共28层）","223平米","南北","14000000","62780元/平米","豪华装修","3","2006年","有"
"20","房界如此，您却如此平静；得之您幸，失之我错","116.46572113037109375000","39.91113662719726562500","北京","朝阳","暂无","中层楼层（共23层）","165平米","西南","7950000","48182元/平米","精装修","3","2006年","有"
"21","满五年公房+南向大一居+育英12年+精心装修","116.30004882812500000000","39.92467117309570312500","北京","海淀","1室1厅1卫","低层楼层（共18层）","46.9平米","南","5800000","123667元/平米","简装修","3","2000年","无"
"22","院里 南北通透带花园两居 诚心出售 带车位","116.37868499755859375000","39.89393615722656250000","北京","西城","2室2厅2卫","低层楼层（共12层）","123平米","南北","16000000","130081元/平米","精装修","3","2001年","无"
"23","知春里 精装修 业主急售 直降50万 随时签约 委托","116.33052825927734375000","39.97871780395507812500","北京","海淀","2室1厅1卫","中层楼层（共18层）","57.6平米","南","5200000","90278元/平米","精装修","3","1992年","无"
"24","瑞雪春堂二里满五年精装修二居室","116.15484619140625000000","39.72526168823242187500","北京","房山","2室1厅1卫","中层楼层（共15层）","90.2平米","南","2900000","32151元/平米","精装修","3","2010年","有"
"25","东城房本 史家 南北通透无遮挡 满五年一套 老业主随时看房","116.44554138183593750000","39.94323730468750000000","北京","东城","2室1厅1卫","高层楼层（共5层）","56.16平米","南北","4900000","87251元/平米","毛坯","3","1988年","无"
"26","东城区+新家园+明卫+朝南2居室+看房方便","116.42370605468750000000","39.90090560913085937500","北京","东城","2室1厅2卫","中层楼层（共6层）","112.47平米","西南","13500000","120032元/平米","简装修","3","2004年","有"
"27","全南向的两居，板楼2/6层，看房方便","116.42311859130859375000","39.97072219848632812500","北京","朝阳","2室1厅1卫","低层楼层（共6层）","50.64平米","南","3700000","73065元/平米","精装修","3","1987年","有"
